Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,xG,xA,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
2,Luiz Araújo,Flamengo,Flamengo,RW,RW,10,27,6000000,,11,668,Brazil,Brazil,left,175,70,no,7.01,3.772431,4.715256,4.716032,4.444705,0.29,0.37,RJ,Testing,2024,0.8586196099645456,0.8765422194735487,0.8675809147190472
3,Bruno Henrique,Flamengo,Flamengo,"LW, LAMF, RW",LW,10,33,3000000,,11,579,Brazil,Brazil,right,184,77,no,5.91,3.265,3.732476,2.79483,4.354566999999999,0.51,0.11,RJ,Testing,2024,0.5886252868952135,0.5859879336549807,0.5873066102750971
4,D. Payet,Vasco da Gama,Vasco da Gama,"LW, AMF, LWF",LW,10,36,2000000,2024-06-30,10,928,Réunion,"Réunion, France",right,175,77,no,2.04,1.649552,7.273903000000001,5.431179000000001,4.851978,0.25,0.41,RJ,Testing,2024,1.0,1.0,1.0
5,Junior Santos,Botafogo,Botafogo,"RW, RWF, RWB",RW,10,29,600000,2025-12-31,12,856,Brazil,Brazil,right,188,85,no,5.47,3.4716,3.367399,2.839154,5.46612,0.36,0.08,RJ,Testing,2024,0.5946810299209754,0.5586547930653238,0.5766679114931497
6,Bill,Nova Iguaçu,Nova Iguaçu,"LAMF, LW, AMF",LAMF,10,24,250000,,13,1185,Brazil,Brazil,right,175,68,no,4.01,1.923536,6.184779,5.2675,4.1772,0.23,0.27,RJ,Testing,2024,0.8787445408897235,0.8845769517547767,0.8816607463222501
7,Romarinho,Portuguesa RJ,Portuguesa RJ,"RW, LW, LAMF",RW,10,30,150000,,10,840,Brazil,Brazil,left,170,61,no,4.92,2.64006,3.599904000000001,1.679904,3.36006,0.21,0.04,RJ,Testing,2024,0.2028520650780607,0.2025643187465171,0.2027081919122889
8,Hugo Borges,Madureira,Madureira,"LW, LWF, LAMF",LW,10,26,125000,,10,790,Brazil,Brazil,right,176,73,no,5.92,2.964114,5.922493999999999,5.242391,3.188296,0.38,0.14,RJ,Testing,2024,0.8676841646208985,0.8904885834402595,0.879086374030579
9,MV,Volta Redonda,Volta Redonda,"LW, RW",LW,10,25,0,,10,1036,Brazil,Brazil,right,172,68,no,4.86,3.130326,2.255667,2.256103,4.081275,0.2,0.31,RJ,Testing,2024,0.4455990383852954,0.4203923840533212,0.4329957112193083
10,Gabriel Canela,Bangu,Bangu,"LW, RB, RW",LW,10,24,0,,8,509,Brazil,Brazil,,0,0,no,6.9,3.715650000000001,5.65592,3.185182,6.366715999999999,0.07,0.08,RJ,Testing,2024,0.8631100628293561,0.8609215743084333,0.8620158185688946
11,Arthur Martins,Madureira,Madureira,"RW, RWF",RW,10,24,0,,11,883,Brazil,Brazil,,0,0,no,8.05,4.588775,4.687883999999999,3.260932,4.689299999999999,0.2,0.14,RJ,Testing,2024,0.7838025937848607,0.8398991920551798,0.8118508929200203
