Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,xG,Finalizações_NoAlvo,Conversão_Gols,xA,Assistência_Finalização,Passes_Inteligentes_Certos,Passes_EntreLinhas_Certos,Passes_Chave,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
10,Gabriel Neto,Pouso Alegre,Pouso Alegre,RW,RW,10,23,0,,10,654,Brazil,Brazil,unknown,0,0,no,0.4114559999999999,2.06272,2.204472,2.613715,1.5125,0.15,0.965,0.0,0.29,1.51,0.14,0.275,0.55,MG,Testing,2024,0.2102749110139193,0.2675568719386796,0.2383577988250682
11,Vinicius Balotelli,Uberlândia,Uberlândia,LW,LW,10,25,0,,10,703,Brazil,Brazil,right,179,70,no,0.5132819999999999,3.202176,2.429388,4.096863,2.173418,0.2,0.638436,7.692,0.13,0.77,0.13,0.13,0.13,MG,Testing,2024,0.5051188610799222,0.4796022573288374,0.4919883140895361
12,Jefferson,Uberlândia,Uberlândia,"RW, CF",RW,10,27,0,,10,1015,Brazil,Brazil,left,179,75,no,0.178164,1.153008,0.8867110000000001,4.080122,2.12567,0.14,0.7980000000000002,13.333,0.02,0.35,0.0,0.0,0.35,MG,Testing,2024,0.3346158482986429,0.3028349357421358,0.3182258225931399
13,Felipinho,Tombense,Tombense,"RW, AMF, RAMF",RW,10,21,0,,8,622,Brazil,Brazil,left,179,70,no,1.014942,5.064893999999999,2.317066,3.905564,2.023434,0.16,1.301524,7.692,0.12,1.01,0.0,0.143319,0.29,MG,Testing,2024,0.4957414308145783,0.5077663607207785,0.5013885386590982
14,Rafinha,Tombense,Tombense,"LW, LAMF, LWF",LW,10,24,0,,8,749,Brazil,Brazil,,0,0,no,1.559988,3.968156999999999,2.399904,4.808961999999999,2.404854,0.16,0.5999760000000001,7.692,0.11,0.84,0.24,0.48,0.6,MG,Testing,2024,0.6633207539729244,0.6913026223360517,0.6770750651932907
15,Hudson,Patrocinense,Patrocinense,"RW, RB, RCMF",RW,10,23,0,,8,545,Brazil,Brazil,right,181,0,yes,1.487418,7.102995999999999,4.458692,0.8250660000000001,0.495,0.12,0.331412,28.571,0.07,0.66,0.0,0.0,0.33,MG,Testing,2024,0.33213068906677,0.24394307684374,0.2875148100606559
16,Marcílio,Patrocinense,Patrocinense,"LW, RW, RAMF",LW,10,24,0,,9,577,Brazil,Brazil,left,170,70,no,0.465,3.119844,2.653369,4.681290000000001,2.963844,0.1,0.7807379999999999,7.692,0.14,0.78,0.0,0.0,0.31,MG,Testing,2024,0.646015212424583,0.594973406120527,0.620216022898259
17,Branquinho,Itabirito,Itabirito,"LW, LAMF, CF",LW,10,34,0,,10,546,Brazil,Brazil,right,170,65,no,0.99,2.966815,2.305251,2.802036,1.484868,0.35,0.99,30.0,0.0,0.16,0.0,0.0,0.0,MG,Testing,2024,0.2072415883993142,0.2169341308977442,0.2115100943655318
18,Erick Salles,Itabirito,Itabirito,"LW, LAMF, CF",LW,10,29,0,,8,788,Brazil,Brazil,right,172,70,no,0.56875,0.799428,1.596,4.6843,2.970614,0.19,0.57136,14.286,0.07,0.8,0.0,0.0,0.34,MG,Testing,2024,0.5309247415569477,0.5238837779112451,0.527057711689417
19,Richard Cossoniche,Democrata GV,Democrata GV,"RAMF, RW, LAMF",RAMF,10,22,0,,10,848,Brazil,Brazil,right,169,62,no,0.425412,3.078504,3.182895,5.199038000000001,3.50027,0.22,0.318958,0.0,0.21,1.27,0.11,0.21,0.64,MG,Testing,2024,0.7986650240252235,0.7793253464728971,0.788840458281084
