Unnamed: 0,Duelos_Aéreos_Ganhos,Defesas,Gols_Evitados,Saídas,Interceptações.1,xG_Evitado,Finalizações_por_Gol_Sofrido,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Duelos_Aéreos_Ganhos_LM,Defesas_LM,Gols_Evitados_LM,Saídas_LM,Interceptações.1_LM,xG_Evitado_LM,Finalizações_por_Gol_Sofrido_LM,Duelos_Aéreos_Ganhos_Rank,Defesas_Rank,Gols_Evitados_Rank,Saídas_Rank,Interceptações.1_Rank,xG_Evitado_Rank,Finalizações_por_Gol_Sofrido_Rank,Duelos_Aéreos_Ganhos_Percentil,Defesas_Percentil,Gols_Evitados_Percentil,Saídas_Percentil,Interceptações.1_Percentil,xG_Evitado_Percentil,Finalizações_por_Gol_Sofrido_Percentil
2,0.13334,0.772176,0.538883,0.159483,0.243094,0.771739,0.5546,0.492,Weverton,Palmeiras,Palmeiras,GK,GK,0,36,3000000,2026-12-31,13,1286,Brazil,Brazil,right,189,85,no,SP,Testing,2024,Goleiro,0.492,7,16,56,0.353449,0.494622,0.54963,0.262931,0.333218,0.495726,0.335673,13,2.0,8,9.0,10.0,2,2,18,87,50,43,37,87,87
11,0.07619,0.721001,0.754655,0.068966,0.359116,0.719435,0.485699,0.487,Ygor Vinhas,Água Santa,Água Santa,GK,GK,0,29,200000,2024-11-30,11,1102,Brazil,Brazil,right,192,88,no,SP,Testing,2024,Goleiro,0.487,8,16,50,0.353449,0.494622,0.54963,0.262931,0.333218,0.495726,0.335673,15,6.0,4,14.0,7.0,6,6,6,62,75,12,56,62,62
8,0.702857,0.202805,0.338445,0.176724,0.0,0.210176,0.089257,0.395,Alex Muralha,Mirassol,Mirassol,GK,GK,0,34,250000,,11,1095,Brazil,Brazil,right,188,89,no,SP,Testing,2024,Goleiro,0.395,9,16,43,0.353449,0.494622,0.54963,0.262931,0.333218,0.495726,0.335673,3,13.0,14,8.0,16.0,13,13,81,18,12,50,0,18,18
13,0.0,0.41812,0.593647,0.0,0.364641,0.423124,0.21268,0.199,Jefferson Paulino,Ituano,Ituano,GK,GK,0,32,200000,,12,1181,Brazil,Brazil,right,185,71,no,SP,Testing,2024,Goleiro,0.199,10,16,37,0.353449,0.494622,0.54963,0.262931,0.333218,0.495726,0.335673,16,9.0,7,16.0,6.0,9,9,0,43,56,0,62,43,43
6,0.152389,0.357847,0.352683,0.198276,0.121547,0.360574,0.171966,0.15,Rafael,São Paulo,São Paulo,GK,GK,0,34,400000,2025-12-31,11,1126,Brazil,Brazil,left,192,81,no,SP,Testing,2024,Goleiro,0.15,11,16,31,0.353449,0.494622,0.54963,0.262931,0.333218,0.495726,0.335673,12,10.0,12,7.0,12.0,10,10,25,37,25,56,25,37,37
9,0.215884,0.244882,0.450164,0.133621,0.41989,0.246602,0.10758,0.15,João Carlos,Botafogo SP,Botafogo SP,GK,GK,0,35,200000,,8,800,Brazil,Brazil,right,191,92,no,SP,Testing,2024,Goleiro,0.15,12,16,25,0.353449,0.494622,0.54963,0.262931,0.333218,0.495726,0.335673,10,12.0,11,10.5,4.5,12,12,37,25,31,34,71,25,25
7,0.361905,0.157695,0.279299,0.133621,0.41989,0.158597,0.064913,0.11,Luiz Daniel,Santo André,Santo André,GK,GK,0,30,250000,,12,1198,Brazil,Brazil,right,186,84,no,SP,Testing,2024,Goleiro,0.11,13,16,18,0.353449,0.494622,0.54963,0.262931,0.333218,0.495726,0.335673,7,14.0,15,10.5,4.5,14,14,56,12,6,34,71,12,12
10,0.114286,0.271418,0.473165,0.073276,0.022099,0.271838,0.120872,0.095,Vladimir,Guarani,Guarani,GK,GK,0,34,200000,2025-12-31,7,729,Brazil,Brazil,right,191,93,yes,SP,Testing,2024,Goleiro,0.095,14,16,12,0.353449,0.494622,0.54963,0.262931,0.333218,0.495726,0.335673,14,11.0,10,13.0,15.0,11,11,12,31,37,18,6,31,31
3,0.171437,0.0,0.342826,0.112069,0.535912,0.0,0.0,0.015,Cássio,Corinthians,Corinthians,GK,GK,0,36,1000000,2024-12-31,10,1003,Brazil,Brazil,right,196,92,no,SP,Testing,2024,Goleiro,0.015,15,16,6,0.353449,0.494622,0.54963,0.262931,0.333218,0.495726,0.335673,11,16.0,13,12.0,3.0,16,16,31,0,18,25,81,0,0
15,0.259048,0.091357,0.0,0.060345,0.077348,0.098944,0.03887,0.0,Thomazella,Portuguesa,Portuguesa,GK,GK,0,33,0,2024-04-30,13,1316,Brazil,Brazil,right,191,89,no,SP,Testing,2024,Goleiro,0.0,16,16,0,0.353449,0.494622,0.54963,0.262931,0.333218,0.495726,0.335673,9,15.0,16,15.0,13.0,15,15,43,6,0,6,18,6,6
