Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,Acelerações,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Deep_Completed_Crosses,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
16,Anilson,Novo Hamburgo,Novo Hamburgo,"RB, RCB",RB,1,22,0,,10,774,Brazil,Brazil,right,185,66,no,10.23,4.18782,9.537278,2.21,2.443,0.23,1.161492,0.7,0.7,0.02,0.35,5.117363999999999,0.47,0.7,1.05,RS,Testing,2024,0.7540210600145612,0.7275512502075854,0.7407861551110733
17,Jefinho,Brasil de Pelotas,Brasil de Pelotas,"LB, LAMF",LB,1,22,0,,9,710,Brazil,Brazil,left,0,0,no,6.46,0.762,4.439484999999999,1.9,2.026464,0.51,1.651,1.52,0.51,0.06,1.14,2.15327,0.25,0.25,0.126692,RS,Testing,2024,0.235225040170251,0.2180201308030517,0.2266225854866514
18,Gabriel Biteco,Brasil de Pelotas,Brasil de Pelotas,"RB, RAMF",RB,1,24,0,,10,705,Brazil,Brazil,,0,0,no,9.7,1.148648,3.063606,1.66,2.42372,0.13,1.020051,0.51,0.13,0.04,0.26,0.8939099999999999,0.13,0.64,0.7660899999999999,RS,Testing,2024,0.2400174196323289,0.2294029509259579,0.2347101852791434
19,Lessa,Guarany de Bagé,Guarany de Bagé,RB,RB,1,24,0,,11,953,Brazil,Brazil,right,0,0,no,8.88,2.453818,4.435782,2.93,4.157804,0.47,1.981,1.13,0.57,0.09,1.13,2.834486,0.19,0.76,0.661215,RS,Testing,2024,0.3362697909743055,0.3534132017040101,0.3448414963391578
20,João Gabriel,Guarany de Bagé,Guarany de Bagé,"LB, LW",LB,1,24,0,,12,1084,Brazil,Brazil,left,175,68,no,8.72,1.824822,3.652632000000001,2.16,1.992528,0.33,0.9138960000000002,0.83,0.5,0.03,0.5,2.575969,0.33,0.75,1.162617,RS,Testing,2024,0.2667805638165609,0.2835185856860052,0.275149574751283
21,João Vitor,São Luiz,São Luiz,RB,RB,1,21,0,,11,943,Brazil,Brazil,,0,0,no,10.59,1.429488,6.584208,3.05,4.007256,0.67,1.814184,2.58,0.57,0.06,0.76,3.819541000000001,0.57,1.05,1.62,RS,Testing,2024,0.641479578831039,0.6293466948323723,0.6354131368317056
22,Marcelo,Caxias,Caxias,RB,RB,1,34,0,,11,1077,Brazil,Brazil,right,180,76,no,8.52,3.588858,6.284450000000001,0.81,0.449946,0.09,0.27,0.9,0.18,0.16,1.44,3.765048000000001,0.36,0.36,0.807034,RS,Testing,2024,0.3117279615162811,0.3603893880071148,0.336058674761698
23,Márcio Duarte,São Luiz,São Luiz,"LB, LW",LB,1,32,0,,12,1038,Brazil,Brazil,,178,74,no,5.9,1.0416,6.93855,2.51,0.9540090000000001,1.39,0.86535,0.43,0.17,0.09,1.04,3.382722,0.0,1.39,1.212,RS,Testing,2024,0.5383460739156656,0.5026103642844263,0.5204782191000459
24,Dudu Mandai,Caxias,Caxias,LB,LB,1,31,0,,13,1160,Brazil,Brazil,left,172,68,no,9.23,2.639,8.066024,2.64,2.330318,0.85,1.398446,1.94,1.16,0.17,1.55,4.65805,0.39,1.09,1.162469,RS,Testing,2024,0.7032602105581413,0.6915008729045042,0.6973805417313228
0,J. Piquerez,Palmeiras,Palmeiras,"LWB, LCB, LB",LWB,1,25,8000000,2025-12-31,13,1133,Uruguay,"Uruguay, Italy",left,183,80,no,8.82,1.351148,4.04922,2.38,2.302102,0.48,1.112254,0.87,0.08,0.11,1.11,2.937339,0.4,1.19,1.428245,SP,Testing,2024,0.4437353721146508,0.4174800922585217,0.4306077321865862
1,Welington,São Paulo,São Paulo,"LB, LWB",LB,1,23,3000000,2024-12-31,13,1218,Brazil,Brazil,left,175,73,no,7.68,1.920852,6.356974,4.43,3.692472,1.03,2.2878,3.33,0.89,0.15,1.33,3.765887999999999,0.81,1.85,1.993054,SP,Testing,2024,0.9148882914413097,0.8794530667140644,0.897170679077687
2,Igor Vinícius,São Paulo,São Paulo,"RB, RWB",RB,1,26,3000000,2025-12-31,8,563,Brazil,Brazil,right,174,70,no,7.35,0.48,3.520224,4.16,3.835172,1.6,2.72,1.12,0.32,0.23,1.44,3.199872,0.32,0.96,0.6399360000000001,SP,Testing,2024,0.321710293698174,0.3330917518716075,0.3274010227848907
3,Felipe Jonatan,Santos,Santos,LB,LB,1,26,2500000,2025-02-28,13,1006,Brazil,Brazil,left,176,77,no,8.05,2.327147,6.171388,2.33,2.058976,0.54,1.1635,0.89,0.27,0.14,1.07,4.920443,0.27,0.81,0.9847440000000001,SP,Testing,2024,0.6143718358330645,0.5901306972631172,0.6022512665480908
4,Heitor,Guarani,Guarani,RB,RB,1,23,2000000,2024-12-31,9,758,Brazil,Brazil,right,174,67,no,10.09,2.138776,5.10416,1.78,1.424528,0.47,0.712858,0.71,0.47,0.09,0.71,2.490904,0.12,0.71,0.8307260000000001,SP,Testing,2024,0.4986618726085422,0.4577702003745139,0.478216036491528
5,J. Hurtado,Red Bull Bragantino,Red Bull Bragantino,"RB, RWB",RB,1,22,1500000,2026-12-31,8,681,Ecuador,Ecuador,right,178,69,no,7.93,1.45468,4.360634999999999,1.85,1.18918,0.79,0.5272199999999999,0.66,0.13,0.05,0.66,2.511774,0.26,1.19,1.321013,SP,Testing,2024,0.2936163199120904,0.2985179170048193,0.2960671184584548
