Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Finalizações_Bloqueadas,Interceptações_Ajustadas_a_Posse,Passes_Laterais_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
6,Lucas Cunha,Red Bull Bragantino,Red Bull Bragantino,"RCB, CB",RCB,4,27,2500000,2026-12-31,9,801,Brazil,"Brazil, Portugal",right,186,77,no,6.74,3.03336,2.919046,0.56,6.32,21.233886,SP,Testing,2024,0.4579177020143925,0.459785987718366,0.4588518448663792
7,Luan,Palmeiras,Palmeiras,"CB, RCB",CB,4,30,2500000,2025-12-31,13,1294,Brazil,Brazil,right,189,79,no,7.72,3.26976,1.8784,0.21,7.14,26.56476,SP,Testing,2024,0.6401906311402665,0.7157664599083151,0.6779785455242908
8,R. Arboleda,São Paulo,São Paulo,"RCB, CB",RCB,4,32,1800000,2027-12-31,9,889,Ecuador,Ecuador,right,187,83,no,5.47,2.532915,2.735,0.3,4.6,27.437634,SP,Testing,2024,0.444986655406774,0.4178471964698277,0.4314169259383008
9,N. Ferraresi,São Paulo,São Paulo,"RCB, LCB",RCB,4,25,1500000,,6,569,Venezuela,"Venezuela, Italy",right,190,80,no,8.22,3.795916,1.740699,0.0,5.85,25.78419,SP,Testing,2024,0.6392262139907203,0.6004110876805161,0.6198186508356182
10,Léo Santos,Guarani,Guarani,RCB,RCB,4,25,1200000,,12,1221,Brazil,Brazil,right,186,80,no,8.11,2.5053,1.98911,0.52,6.53,17.02407,SP,Testing,2024,0.3933867679883922,0.365861084197028,0.37962392609271
11,Marcos Rocha,Palmeiras,Palmeiras,"RCB, RWB, RB",RCB,4,35,1200000,,13,1068,Brazil,Brazil,right,176,68,no,8.34,4.887293,0.168872,0.25,5.52,18.789627,SP,Testing,2024,0.4902472552867368,0.4236109609073189,0.4569291080970278
12,Walce,Santo André,Santo André,"RCB, LCB",RCB,4,25,1000000,,6,501,Brazil,Brazil,right,188,79,no,8.98,3.233847,2.873241,0.72,7.69,20.482048,SP,Testing,2024,0.6942353462087436,0.7036073131298055,0.6989213296692744
13,L. Realpe,Red Bull Bragantino,Red Bull Bragantino,"LCB, RCB",LCB,4,23,1000000,2026-12-31,7,502,Ecuador,Ecuador,right,186,74,no,8.43,4.478661,2.6875,0.36,6.3,19.901398,SP,Testing,2024,0.5981623141890264,0.562095846217357,0.5801290802031916
14,Gil,Santos,Santos,"RCB, LCB",RCB,4,36,1000000,,15,1488,Brazil,Brazil,right,192,87,no,6.65,3.142467,2.057925,0.54,4.88,19.536848,SP,Testing,2024,0.3128684045034146,0.2982873573485298,0.3055778809259722
15,Luiz Otávio,Mirassol,Mirassol,LCB,LCB,4,31,900000,,12,1141,Brazil,Brazil,right,194,85,no,6.31,2.291,3.156482,0.32,5.81,29.738304,SP,Testing,2024,0.4915808592055163,0.5022764679220918,0.4969286635638039
